,LEFT_TA_LEFT_TS,LEFT_TA_LEFT_BF,LEFT_TA_LEFT_RF,LEFT_TA_RIGHT_TA,LEFT_TA_RIGHT_TS,LEFT_TA_RIGHT_BF,LEFT_TA_RIGHT_RF,LEFT_TS_LEFT_BF,LEFT_TS_LEFT_RF,LEFT_TS_RIGHT_TA,LEFT_TS_RIGHT_TS,LEFT_TS_RIGHT_BF,LEFT_TS_RIGHT_RF,LEFT_BF_LEFT_RF,LEFT_BF_RIGHT_TA,LEFT_BF_RIGHT_TS,LEFT_BF_RIGHT_BF,LEFT_BF_RIGHT_RF,LEFT_RF_RIGHT_TA,LEFT_RF_RIGHT_TS,LEFT_RF_RIGHT_BF,LEFT_RF_RIGHT_RF,RIGHT_TA_RIGHT_TS,RIGHT_TA_RIGHT_BF,RIGHT_TA_RIGHT_RF,RIGHT_TS_RIGHT_BF,RIGHT_TS_RIGHT_RF,RIGHT_BF_RIGHT_RF
train,0.9416552978626649,0.9429286039108685,0.9377444292860391,0.9221009549795361,0.9541155070486584,0.9085493406093679,0.9226466575716235,0.8675761709868122,0.9110504774897681,0.9402455661664393,0.9122783083219645,0.9162801273306048,0.9624829467939973,0.8930877671668941,0.9556616643929059,0.9347885402455661,0.9220100045475216,0.9544338335607094,0.927194179172351,0.9555707139608913,0.9366075488858572,0.9175989085948159,0.9509322419281492,0.9217826284674853,0.9427012278308322,0.9116416552978627,0.9284674852205548,0.94924965893588
valid,0.8497635503819571,0.8712259003273918,0.8534012368133866,0.8748635867588214,0.8734085121862496,0.8626773372135322,0.8637686431429611,0.8453983266642415,0.8492178974172426,0.8681338668606766,0.8543106584212441,0.8597671880683885,0.8668606766096763,0.855765732993816,0.8912331757002546,0.8730447435431066,0.8699527100763914,0.878865041833394,0.8715896689705347,0.869043288468534,0.8761367770098217,0.8563113859585304,0.87468170243725,0.8732266278646781,0.8719534376136777,0.8643142961076755,0.8701345943979629,0.878865041833394
test,0.7919091967403958,0.8565192083818394,0.8461874272409778,0.8199941792782305,0.8451688009313155,0.8582654249126892,0.8333818393480792,0.8084982537834692,0.7881257275902211,0.8131548311990687,0.7824505238649593,0.8076251455180442,0.7585855646100116,0.8582654249126892,0.8544819557625145,0.8370197904540163,0.8659778812572759,0.859720605355064,0.8352735739231665,0.7932188591385332,0.9118160651920838,0.7759022118742724,0.794965075669383,0.8287252619324796,0.8079161816065192,0.8517171129220024,0.7780849825378346,0.8125727590221188
