,LEFT,RIGHT,LEFT_TA_LEFT_TS,LEFT_TA_LEFT_BF,LEFT_TA_LEFT_RF,LEFT_TS_LEFT_BF,LEFT_TS_LEFT_RF,LEFT_BF_LEFT_RF,RIGHT_TA_RIGHT_TS,RIGHT_TA_RIGHT_BF,RIGHT_TA_RIGHT_RF,RIGHT_TS_RIGHT_BF,RIGHT_TS_RIGHT_RF,RIGHT_BF_RIGHT_RF
train,0.9581817984580994,0.996181845664978,0.9361363636363637,0.9191363636363636,0.8908181818181818,0.9455454545454546,0.9266818181818182,0.9422272727272727,0.9141363636363636,0.9446363636363636,0.9744545454545455,0.9353181818181818,0.9365909090909091,0.9562727272727273
valid,0.9252727031707764,0.9374545216560364,0.8734545454545455,0.8829090909090909,0.8632727272727273,0.887090909090909,0.8652727272727273,0.8865454545454545,0.8823636363636363,0.8892727272727273,0.8972727272727272,0.8852727272727273,0.8867272727272727,0.8989090909090909
test,0.9327999949455261,0.9169454574584961,0.8177454545454546,0.8887272727272727,0.8634181818181819,0.8600727272727273,0.8375272727272727,0.8946909090909091,0.8436363636363636,0.8782545454545455,0.8650181818181818,0.8993454545454546,0.8148363636363636,0.8491636363636363
rest data,0.935483992099762,0.9872919917106628,0.8651026392961877,0.8181818181818182,0.8611925708699902,0.8856304985337243,0.906158357771261,0.9296187683284457,0.8758553274682307,0.9188660801564027,0.9589442815249267,0.8768328445747801,0.9130009775171065,0.9384164222873901
