,train,valid,test,rest data
xgboost,1,0.961642,0.962002,0.987563
drop_mDWT,1,0.965585,0.96702,0.990338
d_mDWT_TF,1,0.974727,0.960998,0.969434
all_TF,0.9970869,0.959311705,0.95139088,0.960683034
