Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,-1.163466,6.892506,7.263324,1.1,0.3,-0.4,-0.670801228,3.974996445,9.239350442,20.06859784,3.315392227,0.58489938,0,0,1,2.72E-06,0,0
0.005,-1.163466,6.819912,7.300602,1.4,0.4,0,-0.45645705,2.655736879,9.690322542,27.58509849,4.493638291,1.097815348,0,0,1,1.52E-06,0,0
0.01,-1.126188,6.892506,7.263324,0.9,0.3,-0.2,-0.315524593,2.054063668,9.859618683,31.61956514,5.022102227,1.432093634,0,0,1,8.98E-07,0,0
0.015,-1.200744,6.855228,7.228008,1.1,0,-0.2,-0.312932429,1.620191682,9.897327364,34.07486559,5.426097283,1.65434981,0,0,1,4.54E-07,0,0
0.02,-1.200744,6.892506,7.228008,0.8,-0.2,0,-0.257769701,1.363798476,9.963239095,35.74732149,5.68737814,1.815350799,0,0,1,1.54E-07,0,0
0.025,-1.163466,6.892506,7.263324,0.4,-0.1,0,-0.184523523,1.141627142,10.0139306,36.92064381,5.836429663,1.932654832,0,0,1,1.08E-07,0,0
0.03,-1.163466,6.929784,7.263324,0.4,0.3,0,-0.159195894,1.018544106,10.05329098,37.8018953,5.943531012,2.023789645,0,0,1,2.79E-07,0,0
0.035,-1.200744,6.855228,7.228008,0.2,0.3,0,-0.178760526,0.86534016,9.994962122,38.46606593,6.056401826,2.094031459,0,0,1,4.57E-07,0,0
0.04,-1.163466,6.855228,7.263324,-0.3,0,0,-0.123451611,0.755964689,10.02581451,38.97982377,6.120703713,2.148682865,0,0,1,6.01E-07,0,0
0.045,-1.200744,6.892506,7.300602,-0.4,-0.2,-0.1,-0.140319212,0.687756966,10.08734433,39.39733418,6.189018989,2.192647806,0,0,1,7.02E-07,0,0
0.05,-1.126188,6.819912,7.263324,-0.9,-0.2,-0.2,-0.066674029,0.600590376,10.0085074,39.7284128,6.212954021,2.227496308,0,0,1,5.20E-07,0,0
0.055,-1.200744,6.892506,7.263324,-0.7,-0.4,0,-0.12689551,0.600915506,10.06613624,40.03290368,6.263669425,2.259689148,0,0,1,3.55E-07,0,0
0.06,-1.163466,6.892506,7.263324,-0.7,-0.6,-0.2,-0.083310838,0.557214178,10.06472748,40.2928861,6.29064789,2.285814925,0,0,1,2.80E-07,0,0
0.065,-1.163466,6.819912,7.300602,-0.4,-0.7,0,-0.076760456,0.444110834,10.04791102,40.48680348,6.313689163,2.305066932,0,0,1,2.74E-07,0,0
0.07,-1.163466,6.782634,7.335918,-0.6,-0.9,0.1,-0.070058377,0.367161639,10.05155481,40.63521957,6.332453723,2.31921227,0,0,1,2.55E-07,0,0
0.075,-1.163466,6.892506,7.263324,-0.7,-0.8,0,-0.069411148,0.467064524,10.06941907,40.81192307,6.348672885,2.336519914,0,0,1,1.31E-07,0,0
0.08,-1.163466,6.819912,7.335918,-0.4,-0.7,0.1,-0.061071085,0.34342446,10.07764237,40.93486145,6.362606916,2.348450001,0,0,1,1.72E-07,0,0
0.085,-1.163466,6.819912,7.228008,-0.2,-0.5,-0.2,-0.069069848,0.390543735,9.997582579,41.06921592,6.379539009,2.361089802,0,0,1,9.93E-08,0,0
0.09,-1.126188,6.782634,7.263324,0,-0.3,0,-0.028290124,0.322525764,9.996173054,41.17496346,6.383271528,2.371862878,0,0,1,1.23E-07,0,0
0.095,-1.126188,6.892506,7.263324,-0.1,-0.1,0,-0.022504352,0.384381145,10.06889063,41.29600253,6.384945869,2.38504968,0,0,1,5.83E-08,0,0
0.1,-1.126188,6.855228,7.263324,0,-0.1,0,-0.022930944,0.338494127,10.04505957,41.39829636,6.387206776,2.396099302,0,0,1,6.92E-08,0,0
0.105,-1.200744,6.782634,7.263324,0,0,0.1,-0.095287998,0.267318364,10.0060605,41.47685278,6.411056169,2.405227224,0,0,1,9.45E-08,0,0
0.11,-1.163466,6.855228,7.228008,0,0,-0.1,-0.056357022,0.330783392,10.02393685,41.56891315,6.423045271,2.415144322,0,0,1,2.61E-08,0,0
0.115,-1.163466,6.855228,7.263324,0.1,0,-0.2,-0.049986921,0.293872985,10.0506129,41.64758823,6.433580899,2.423153803,0,0,1,4.26E-08,0,0
0.12,-1.163466,6.782634,7.335918,0.5,0,-0.5,-0.04277096,0.183010329,10.05674639,41.69679434,6.444077069,2.426535914,0,0,1,1.12E-07,0,0
0.125,-1.163466,6.855228,7.335918,0.8,0,0,-0.038029612,0.227196416,10.10497068,41.75533281,6.450801152,2.432660132,0,0,1,6.12E-08,0,0
0.13,-1.126188,6.855228,7.300602,0.7,0,0,-0.004757229,0.241790692,10.07485754,41.81456792,6.449535993,2.438921362,0,0,1,5.10E-08,0,0
0.135,-1.200744,6.855228,7.335918,0.5,0,0,-0.072010202,0.206794074,10.10958361,41.86337725,6.463391871,2.444128764,0,0,1,5.87E-08,0,0
0.14,-1.08891,6.819912,7.228008,1.1,-0.1,-0.2,0.024553886,0.246554609,9.993979801,41.92168505,6.456170552,2.448998524,0,0,1,5.07E-08,0,0
0.145,-1.163466,6.855228,7.335918,1.4,0.2,-0.3,-0.034230959,0.190034406,10.10575144,41.96812125,6.463263892,2.452990853,0,0,1,4.71E-08,0,0
