Time,Acc_1,Acc_2,Acc_3,Gyro_1,Gyro_2,Gyro_3,Acc_global_1,Acc_global_2,Acc_global_3,Pitch,Roll,Yaw,Movement,Swing,SwingFind,StrideLength,Label1,Label2
0,1.271376,9.566712,-1.852128,0,0.2,-1,0.875498605970324,6.58362463026247,7.24279935325074,58.1187797023293,-6.43778040375558,-3.58429828301376,0,0,1,4.48306783061517e-06,0,0
0.005,1.234098,9.566712,-1.779534,0,0,-0.9,0.521006889845298,4.09001613477516,8.90011446329296,75.478480602256,-7.23249105787313,-5.6678791048246,0,0,1,2.28496065492227e-06,0,0
0.01,1.308654,9.602029,-1.852128,-0.1,0.3,-0.8,0.42459466165108,2.93985175060808,9.40844861784795,83.2415430341898,-7.50458519077405,-6.66433677130326,0,0,1,1.19776407544626e-06,0,0
0.015,1.271376,9.602029,-1.779534,-0.1,0.2,-1.1,0.286670600582171,2.17101407837049,9.60138619917208,87.5412134167433,-7.54192723869983,-7.22706157277752,0,0,1,4.48052807534222e-07,0,0
0.02,1.271376,9.566712,-1.779534,-0.2,0,-0.7,0.23104904234116,1.71811873198557,9.65918221405464,90.2750809802037,-7.55037073607482,-7.58635043061365,0,0,1,2.42012978546129e-08,0,0
0.025,1.271376,9.566712,-1.70694,-0.2,0,-1.2,0.182311695248492,1.34861770738044,9.7056690811626,92.066370709916,-7.54421014520882,-7.82165508234987,0,0,1,4.05771189740651e-07,0,0
0.03,1.271376,9.602029,-1.742256,-0.1,0.4,-0.9,0.153701244349772,1.16223172591357,9.77120295370628,93.3847096982799,-7.5312822961929,-7.99247424835299,0,0,1,6.35096170363388e-07,0,0
0.035,1.271376,9.639306,-1.742256,-0.2,0,-1.4,0.128594572269829,0.99663471817231,9.82640604387303,94.357642827121,-7.51243582589443,-8.11950088525359,0,0,1,8.36064786730127e-07,0,0
0.04,1.271376,9.602029,-1.779534,-0.2,-0.2,-1.3,0.121945834852027,0.903134506823042,9.80569102018419,95.1449793058089,-7.49930914022408,-8.22293539564174,0,0,1,9.74577211170596e-07,0,0
0.045,1.308654,9.602029,-1.779534,-0.1,0,-0.7,0.140539201451615,0.792985109844163,9.81986256594937,95.7712105687131,-7.51520533021036,-8.30448968509194,0,0,1,1.11520403684219e-06,0,0
